name,slug,landing,id,lzId,lzEndpoint,create3Deployer,defiLlamaId,httpRpcs,wsRpcs,explorers,explorerApi
Scroll Testnet,scroll-testnet,https://scroll.io,534353,10170,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://scroll-sepolia.public.blastapi.io"", ""https://scroll-sepolia.blockpi.network/v1/rpc/public"", ""https://sepolia-rpc.scroll.io""]",[],"[""https://scroll.l2scan.co"", ""https://blockscout.scroll.io""]",https://blockscout.scroll.io/api
Metis,metis-mainnet,https://www.metis.io,1088,151,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Metis,"[""https://mantle-mainnet.public.blastapi.io"", ""https://andromeda.metis.io/?owner=1088""]",[],"[""https://andromeda-explorer.metis.io""]",
Metis Testnet,metis-testnet,https://www.metis.io,588,10151,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://goerli.gateway.metisdevops.link""]",[],"[""https://goerli.explorer.metisdevops.link""]",
Mantle,mantle-mainnet,https://www.mantle.xyz,5000,181,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Mantle,"[""https://mantle-mainnet.public.blastapi.io"", ""https://rpc.mantle.xyz""]",[],"[""https://explorer.mantle.xyz"", ""https://mantlescan.info""]",https://explorer.mantle.xyz/api
Mantle Testnet,mantle-testnet,https://www.mantle.xyz,5001,10181,0x2cA20802fd1Fd9649bA8Aa7E50F0C82b479f35fe,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://rpc.goerli.linea.build""]",[],"[""https://explorer.testnet.mantle.xyz"", ""https://testnet.mantlescan.org""]",
Linea,linea-mainnet,https://linea.build,59144,183,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Linea,"[""https://linea.blockpi.network/v1/rpc/public"", ""https://rpc.linea.build""]","[""wss://rpc.linea.build""]","[""https://lineascan.build"", ""https://explorer.linea.build""]",
Linea Testnet,linea-testnet,https://linea.build,59140,10157,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://rpc.goerli.linea.build""]","[""wss://rpc.goerli.linea.build""]","[""https://goerli.lineascan.build"", ""https://explorer.goerli.linea.build""]",
Celo,celo-mainnet,https://celo.org,42220,125,0x3A73033C0b1407574C76BdBAc67f126f6b4a9AA9,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Celo,"[""https://rpc.ankr.com/celo"", ""https://forno.celo.org""]","[""wss://forno.celo.org/ws""]","[""https://celoscan.io"", ""https://explorer.celo.org/mainnet""]",
Celo Testnet,celo-testnet,https://celo.org,44787,10125,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://alfajores-forno.celo-testnet.org""]","[""wss://alfajores-forno.celo-testnet.org/ws""]","[""https://alfajores.celoscan.io"", ""https://explorer.celo.org/alfajores""]",
Aurora,aurora-mainnet,https://aurora.dev,1313161554,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Aurora,"[""https://endpoints.omniatech.io/v1/aurora/mainnet/public"", ""https://mainnet.aurora.dev""]",[],"[""https://explorer.aurora.dev""]",
Aurora Testnet,aurora-testnet,https://aurora.dev,1313161555,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://endpoints.omniatech.io/v1/aurora/testnet/public"", ""https://explorer.testnet.aurora.dev""]",[],"[""https://explorer.aurora.dev""]",
